Review,Rating
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",0
The car is vary nice and heavy car tha sefti nice tata company is indian flavour company,0
"Such a wonderful experience with tata punch, Like tata super fast.This car is very smooth and comfortable.Engine voice is very smooth.A and the look is awesome also colour black.",0
This car can get more safety rating than other in this range.,0
It's a great experience and i have a decent mileage in city routes.Overall it's a good car.,4.3
Light is very bad.Night time it is difficult to drive the tata punch car.Should be good light.Need good mileage.,0
We want tata company car with end of and start of next year in good quality,0
Tata is best for safety and look suv it's a good car for safety and complete your suv dream,4.7
Wonderful car best car car body was so strong i love this car car memtenes is lo djjdndndmdmdndndndn,5
"Excellent driveing, You will feel like a king while sitting in it",0
I am happy with my tata punch car.I had bought tata punch creative in jan 2022 and till now i have drive 8k km with 0 problem i drive highest 800 km in one day.I have not found any weak point of this car.And average is 18 to 20 km/l thanks to tata for make this super car with trust of 5 star safety ratings.,0
Very good car and i like it it's very beautiful colur,0
"Nice looking, Well design, More comfortable more safe car for city/highway.Value for money.",0
I lk to by this car nice specifications and lowest price also,0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is not that good.But to the rest of its features, Reasonable price for middle class peoples, It's 10/10.",0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is good and reasonable price, Good features, It's 10/10.",0
I have driven car comfertable and smmoth good mileage,5
Driving average mileage 18 engine performance super,3.7
The car looks to beautifully designed perfect wagon best suited for indiantypical cities and its roads.I find it to so silent as breeze blowing near your drum as if you are standing at hill top of 5000m high peak.L will advise every new probable owner to at least go for test.I bet you will surely going to carry you up to you home garage for ever.,4
Super and iam fan and love tata punch new model cars,3.7
I bought this car around 2 month ago.This car mileage 15 to 20 under.It's very nice car.This car made in india.And tata company gives lots of opportunity for middle class family.Tata all cars are very strong and most powerful.?????????.,0
It's very good car like so happy buy car lko is very,0
Tata punch best budget car in suv low cost low maintenance,4
Super for middle class people and safety secure as well best price,0
It's very good car like so happy buy car lko is very,0
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,0
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,4.3
Tata punch is best for price & value of money.Very good experience in this car.,0
This is the best car in this budget and tata always stand with safety we all know.,5
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",0
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",0
Attractive looking with attractive price and smooth engine voice,5
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,0
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",0
The car is vary nice and heavy car tha sefti nice tata company is indian flavour company,0
"Such a wonderful experience with tata punch, Like tata super fast.This car is very smooth and comfortable.Engine voice is very smooth.A and the look is awesome also colour black.",0
This car can get more safety rating than other in this range.,0
It's a great experience and i have a decent mileage in city routes.Overall it's a good car.,4.3
Light is very bad.Night time it is difficult to drive the tata punch car.Should be good light.Need good mileage.,0
We want tata company car with end of and start of next year in good quality,0
Tata is best for safety and look suv it's a good car for safety and complete your suv dream,4.7
Wonderful car best car car body was so strong i love this car car memtenes is lo djjdndndmdmdndndndn,5
"Excellent driveing, You will feel like a king while sitting in it",0
I am happy with my tata punch car.I had bought tata punch creative in jan 2022 and till now i have drive 8k km with 0 problem i drive highest 800 km in one day.I have not found any weak point of this car.And average is 18 to 20 km/l thanks to tata for make this super car with trust of 5 star safety ratings.,0
Very good car and i like it it's very beautiful colur,0
"Nice looking, Well design, More comfortable more safe car for city/highway.Value for money.",0
I lk to by this car nice specifications and lowest price also,0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is not that good.But to the rest of its features, Reasonable price for middle class peoples, It's 10/10.",0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is good and reasonable price, Good features, It's 10/10.",0
I have driven car comfertable and smmoth good mileage,5
Driving average mileage 18 engine performance super,5
The car looks to beautifully designed perfect wagon best suited for indiantypical cities and its roads.I find it to so silent as breeze blowing near your drum as if you are standing at hill top of 5000m high peak.L will advise every new probable owner to at least go for test.I bet you will surely going to carry you up to you home garage for ever.,4.7
Super and iam fan and love tata punch new model cars,5
I bought this car around 2 month ago.This car mileage 15 to 20 under.It's very nice car.This car made in india.And tata company gives lots of opportunity for middle class family.Tata all cars are very strong and most powerful.?????????.,5
Tata punch is good car and also looking is very fantastic,0
"?????? ??? ??? ??? ?????? ?????? ???? ??? ?? ????? ?????? ??? ????? lovey ????
Mileage : 16 kmpl",3.3
"I have done 5000 kms roughly as a new car buyer i am very happy for having tata punch not a single issue till now prefer this car for safety efficient and maintenance friendly
Mileage : 19 kmpl",5
"I am happy to share my feelings about my Tata Punch car, it's too good n the mileage of the car also good.",5
"I am having amt version & excellent performance of car with safety features
Mileage & Engine : 18 kmpl | Petrol | Automatic",0
"Good buying experience comfortable driving quality, Looks are damn crazy just like mini harrier performance is at best, Service is average because it's safety rating is high, Pro is looks and cons are better performance could be expected
Mileage : 18 kmpl",5
very good and comfortable vehicle in suv model,3.7
"Very nicely car.Wonderful deriving time steering movement very good.
Mileage : 18 kmpl",4
"Extent car to drive.Good ground clearance.Very comfort to drive.
Mileage & Engine : 15 kmpl | Petrol | Manual",3.7
It's very good car like so happy buy car lko is very,0
Tata punch best budget car in suv low cost low maintenance,0
Super for middle class people and safety secure as well best price,4
It's very good car like so happy buy car lko is very,0
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,0
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,0
Tata punch is best for price & value of money.Very good experience in this car.,4.3
This is the best car in this budget and tata always stand with safety we all know.,0
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",5
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",0
Attractive looking with attractive price and smooth engine voice,0
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,5
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",0
The car is vary nice and heavy car tha sefti nice tata company is indian flavour company,0
"Such a wonderful experience with tata punch, Like tata super fast.This car is very smooth and comfortable.Engine voice is very smooth.A and the look is awesome also colour black.",0
This car can get more safety rating than other in this range.,0
It's a great experience and i have a decent mileage in city routes.Overall it's a good car.,0
Light is very bad.Night time it is difficult to drive the tata punch car.Should be good light.Need good mileage.,4.3
We want tata company car with end of and start of next year in good quality,0
Tata is best for safety and look suv it's a good car for safety and complete your suv dream,0
Wonderful car best car car body was so strong i love this car car memtenes is lo djjdndndmdmdndndndn,4.7
"Excellent driveing, You will feel like a king while sitting in it",5
I am happy with my tata punch car.I had bought tata punch creative in jan 2022 and till now i have drive 8k km with 0 problem i drive highest 800 km in one day.I have not found any weak point of this car.And average is 18 to 20 km/l thanks to tata for make this super car with trust of 5 star safety ratings.,0
Very good car and i like it it's very beautiful colur,0
"Nice looking, Well design, More comfortable more safe car for city/highway.Value for money.",0
I lk to by this car nice specifications and lowest price also,0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is not that good.But to the rest of its features, Reasonable price for middle class peoples, It's 10/10.",0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is good and reasonable price, Good features, It's 10/10.",0
I have driven car comfertable and smmoth good mileage,0
Driving average mileage 18 engine performance super,5
The car looks to beautifully designed perfect wagon best suited for indiantypical cities and its roads.I find it to so silent as breeze blowing near your drum as if you are standing at hill top of 5000m high peak.L will advise every new probable owner to at least go for test.I bet you will surely going to carry you up to you home garage for ever.,5
Super and iam fan and love tata punch new model cars,4.7
I bought this car around 2 month ago.This car mileage 15 to 20 under.It's very nice car.This car made in india.And tata company gives lots of opportunity for middle class family.Tata all cars are very strong and most powerful.?????????.,5
Tata punch is good car and also looking is very fantastic,5
"?????? ??? ??? ??? ?????? ?????? ???? ??? ?? ????? ?????? ??? ????? lovey ????
Mileage : 16 kmpl",0
"I have done 5000 kms roughly as a new car buyer i am very happy for having tata punch not a single issue till now prefer this car for safety efficient and maintenance friendly
Mileage : 19 kmpl",3.3
"I am happy to share my feelings about my Tata Punch car, it's too good n the mileage of the car also good.",5
"I am having amt version & excellent performance of car with safety features
Mileage & Engine : 18 kmpl | Petrol | Automatic",5
"Good buying experience comfortable driving quality, Looks are damn crazy just like mini harrier performance is at best, Service is average because it's safety rating is high, Pro is looks and cons are better performance could be expected
Mileage : 18 kmpl",0
very good and comfortable vehicle in suv model,0
"Very nicely car.Wonderful deriving time steering movement very good.
Mileage : 18 kmpl",0
"Extent car to drive.Good ground clearance.Very comfort to drive.
Mileage & Engine : 15 kmpl | Petrol | Manual",0
"A very nice experience we go to Bangalore and Ooty and so many places with our car and the drive is very comfortable for us. Someone is asked `which car we should buy in low price and compact SUV, ' I'll definitely tell them to have a test drive of the car and you have to enjoy the ride and you will definitely buy it we have low variant in this segment but we have very rich facilities in this car. ...read more
Mileage : 17 kmpl",4
"Nice car, Great work, Heavy seat, Good work, Middle clas perched this car
Mileage : 18 kmpl",4
"19 mailege on highway best for pickup and mailege and best belt quality all safety features
Mileage : 17 kmpl",4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4.7
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,0
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,2.7
"Best performance in my life drive a car tata punch
Mileage : 18 kmpl",5
Booked tata punch accomplish amt in dec 24th 2021 and it's been more than 6 months and still they haven't delivered my car.Pathetic experience!!.,3.7
"Best car, But mileage is a tensions 11.8 is ongoing.
Mileage & Engine : 14 kmpl | Petrol | Automatic",4
It's very good car like so happy buy car lko is very,3.7
Tata punch best budget car in suv low cost low maintenance,0
Super for middle class people and safety secure as well best price,0
It's very good car like so happy buy car lko is very,4
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,0
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,0
Tata punch is best for price & value of money.Very good experience in this car.,0
This is the best car in this budget and tata always stand with safety we all know.,4.3
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",0
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",5
Attractive looking with attractive price and smooth engine voice,0
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,0
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",5
The car is vary nice and heavy car tha sefti nice tata company is indian flavour company,0
"Such a wonderful experience with tata punch, Like tata super fast.This car is very smooth and comfortable.Engine voice is very smooth.A and the look is awesome also colour black.",0
This car can get more safety rating than other in this range.,0
It's a great experience and i have a decent mileage in city routes.Overall it's a good car.,0
Light is very bad.Night time it is difficult to drive the tata punch car.Should be good light.Need good mileage.,0
We want tata company car with end of and start of next year in good quality,4.3
Tata is best for safety and look suv it's a good car for safety and complete your suv dream,0
Wonderful car best car car body was so strong i love this car car memtenes is lo djjdndndmdmdndndndn,0
"Excellent driveing, You will feel like a king while sitting in it",4.7
I am happy with my tata punch car.I had bought tata punch creative in jan 2022 and till now i have drive 8k km with 0 problem i drive highest 800 km in one day.I have not found any weak point of this car.And average is 18 to 20 km/l thanks to tata for make this super car with trust of 5 star safety ratings.,5
Very good car and i like it it's very beautiful colur,0
"Nice looking, Well design, More comfortable more safe car for city/highway.Value for money.",0
I lk to by this car nice specifications and lowest price also,0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is not that good.But to the rest of its features, Reasonable price for middle class peoples, It's 10/10.",0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is good and reasonable price, Good features, It's 10/10.",0
I have driven car comfertable and smmoth good mileage,0
Driving average mileage 18 engine performance super,0
The car looks to beautifully designed perfect wagon best suited for indiantypical cities and its roads.I find it to so silent as breeze blowing near your drum as if you are standing at hill top of 5000m high peak.L will advise every new probable owner to at least go for test.I bet you will surely going to carry you up to you home garage for ever.,5
Super and iam fan and love tata punch new model cars,5
I bought this car around 2 month ago.This car mileage 15 to 20 under.It's very nice car.This car made in india.And tata company gives lots of opportunity for middle class family.Tata all cars are very strong and most powerful.?????????.,4.7
Tata punch is good car and also looking is very fantastic,5
"?????? ??? ??? ??? ?????? ?????? ???? ??? ?? ????? ?????? ??? ????? lovey ????
Mileage : 16 kmpl",5
"I have done 5000 kms roughly as a new car buyer i am very happy for having tata punch not a single issue till now prefer this car for safety efficient and maintenance friendly
Mileage : 19 kmpl",0
"I am happy to share my feelings about my Tata Punch car, it's too good n the mileage of the car also good.",3.3
"I am having amt version & excellent performance of car with safety features
Mileage & Engine : 18 kmpl | Petrol | Automatic",5
"Good buying experience comfortable driving quality, Looks are damn crazy just like mini harrier performance is at best, Service is average because it's safety rating is high, Pro is looks and cons are better performance could be expected
Mileage : 18 kmpl",5
very good and comfortable vehicle in suv model,0
"Very nicely car.Wonderful deriving time steering movement very good.
Mileage : 18 kmpl",0
"Extent car to drive.Good ground clearance.Very comfort to drive.
Mileage & Engine : 15 kmpl | Petrol | Manual",0
"A very nice experience we go to Bangalore and Ooty and so many places with our car and the drive is very comfortable for us. Someone is asked `which car we should buy in low price and compact SUV, ' I'll definitely tell them to have a test drive of the car and you have to enjoy the ride and you will definitely buy it we have low variant in this segment but we have very rich facilities in this car. ...read more
Mileage : 17 kmpl",0
"Nice car, Great work, Heavy seat, Good work, Middle clas perched this car
Mileage : 18 kmpl",4
"19 mailege on highway best for pickup and mailege and best belt quality all safety features
Mileage : 17 kmpl",4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4.7
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,0
"Best performance in my life drive a car tata punch
Mileage : 18 kmpl",2.7
Booked tata punch accomplish amt in dec 24th 2021 and it's been more than 6 months and still they haven't delivered my car.Pathetic experience!!.,0
"Best car, But mileage is a tensions 11.8 is ongoing.
Mileage & Engine : 14 kmpl | Petrol | Automatic",0
"My driving experience in tata punch is very amazing and it's been honour that tata is indian company and it gives better experience than any other cars.
Mileage : 17 kmpl",5
"That was a great and good experience in this suv like car
Mileage : 17 kmpl",0
"Nice car good looking and successful car model in 2022
Mileage : 19 kmpl",4
"My first car is maruti swift, But due to lowest ground clearance its make feel unsafe to ride in off-road, So i go for tata punch, It's first ride goes amazing and give 16km per litre on road aggregate, Power feels good and it's like driving suv cars, Overall interior design looks perfect and exterior design also look fantastic compared to other car in this price range, Inbuilt quality also upto t ...read more
Mileage : 16 kmpl",5
"The best car in the india under 10 lacks.I like its upper body.
Mileage & Engine : 20 kmpl | Petrol | Automatic",0
"Best car under the budget seats are very nice and driving experience is awesome
Mileage : 18 kmpl",4.7
"Mileage pickup service all is good.The best one of the car in suv model.
Mileage & Engine : 15 kmpl | Petrol | Manual",0
I own a tata punch adventure Amt and its very good still using it. Pickup is good and it gives us feel like XUV.,0
"Good condition and very smooth mileage are good i am happy with this car
Mileage : 18 kmpl",5
"Enjoying the drive very much.But sometimes i get second thoughts if i should have gone for nexon or brezza (1500cc engines(.
Mileage : 15 kmpl",3.7
It's very good car like so happy buy car lko is very,4
Tata punch best budget car in suv low cost low maintenance,3.7
Super for middle class people and safety secure as well best price,0
It's very good car like so happy buy car lko is very,0
I am a owner of tata punch adventure.I using this suv from last 1 month.It is safe to drive and have good mileage.Security features are too good.Overall i want to give 5 star for tata punch.,4
My first car safety car overall nice car,0
It�s best n very classy car best for family best buy,0
Tata punch is best for price & value of money.Very good experience in this car.,0
This is the best car in this budget and tata always stand with safety we all know.,0
"The car is wonderful.Though it feels sometimes that it would be great if there would be an option of turbo charged engine.But overall, It gives good ride experience.The comfort especially at rear seat is superb.It runs very smooth and the steering is very much precise.I have even drove the vehicle on hills almost 800 kilometers including steep climb and sharp turns and it performed really well.The ...read more",4.3
"I bought punch adventure three months back and first service is over.I am fully satisfied on the driving comfort, Engine performance and interiors.I am getting a decent mileage of 19.3 on highway and 15-16 in city ride.In my opinion it is the best budget friendly suv for the family and on driving never feel underpowered as i am not driving racing cars or high budget suv's.",0
Attractive looking with attractive price and smooth engine voice,5
I brought tata punch last month.Over all excellent performance.Best cars in a low budget.Thanks.,0
"Purchased tata punch 1 month ago, Really nice car, Supreb performance, Getting average of 19-21 km.And comfortable seating.",0
The car is vary nice and heavy car tha sefti nice tata company is indian flavour company,5
"Such a wonderful experience with tata punch, Like tata super fast.This car is very smooth and comfortable.Engine voice is very smooth.A and the look is awesome also colour black.",0
This car can get more safety rating than other in this range.,0
It's a great experience and i have a decent mileage in city routes.Overall it's a good car.,0
Light is very bad.Night time it is difficult to drive the tata punch car.Should be good light.Need good mileage.,0
We want tata company car with end of and start of next year in good quality,0
Tata is best for safety and look suv it's a good car for safety and complete your suv dream,4.3
Wonderful car best car car body was so strong i love this car car memtenes is lo djjdndndmdmdndndndn,0
"Excellent driveing, You will feel like a king while sitting in it",0
I am happy with my tata punch car.I had bought tata punch creative in jan 2022 and till now i have drive 8k km with 0 problem i drive highest 800 km in one day.I have not found any weak point of this car.And average is 18 to 20 km/l thanks to tata for make this super car with trust of 5 star safety ratings.,4.7
Very good car and i like it it's very beautiful colur,5
"Nice looking, Well design, More comfortable more safe car for city/highway.Value for money.",0
I lk to by this car nice specifications and lowest price also,0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is not that good.But to the rest of its features, Reasonable price for middle class peoples, It's 10/10.",0
"The car is very impressive in its looks.The performance is awesome.Comfort is best, It gives a proper suv feeling.But in terms of mileage, You need to compromise.The mileage is good and reasonable price, Good features, It's 10/10.",0
I have driven car comfertable and smmoth good mileage,0
Driving average mileage 18 engine performance super,0
The car looks to beautifully designed perfect wagon best suited for indiantypical cities and its roads.I find it to so silent as breeze blowing near your drum as if you are standing at hill top of 5000m high peak.L will advise every new probable owner to at least go for test.I bet you will surely going to carry you up to you home garage for ever.,0
Super and iam fan and love tata punch new model cars,5
I bought this car around 2 month ago.This car mileage 15 to 20 under.It's very nice car.This car made in india.And tata company gives lots of opportunity for middle class family.Tata all cars are very strong and most powerful.?????????.,5
Tata punch is good car and also looking is very fantastic,4.7
"?????? ??? ??? ??? ?????? ?????? ???? ??? ?? ????? ?????? ??? ????? lovey ????
Mileage : 16 kmpl",5
"I have done 5000 kms roughly as a new car buyer i am very happy for having tata punch not a single issue till now prefer this car for safety efficient and maintenance friendly
Mileage : 19 kmpl",5
"I am happy to share my feelings about my Tata Punch car, it's too good n the mileage of the car also good.",0
"I am having amt version & excellent performance of car with safety features
Mileage & Engine : 18 kmpl | Petrol | Automatic",3.3
"Good buying experience comfortable driving quality, Looks are damn crazy just like mini harrier performance is at best, Service is average because it's safety rating is high, Pro is looks and cons are better performance could be expected
Mileage : 18 kmpl",5
very good and comfortable vehicle in suv model,5
"Very nicely car.Wonderful deriving time steering movement very good.
Mileage : 18 kmpl",0
"Extent car to drive.Good ground clearance.Very comfort to drive.
Mileage & Engine : 15 kmpl | Petrol | Manual",0
"A very nice experience we go to Bangalore and Ooty and so many places with our car and the drive is very comfortable for us. Someone is asked `which car we should buy in low price and compact SUV, ' I'll definitely tell them to have a test drive of the car and you have to enjoy the ride and you will definitely buy it we have low variant in this segment but we have very rich facilities in this car. ...read more
Mileage : 17 kmpl",0
"Nice car, Great work, Heavy seat, Good work, Middle clas perched this car
Mileage : 18 kmpl",0
"19 mailege on highway best for pickup and mailege and best belt quality all safety features
Mileage : 17 kmpl",4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4
Worth the money. Pickup is not so great which was expected. Comfort is good. Very good build quality.,4.7
"Best performance in my life drive a car tata punch
Mileage : 18 kmpl",0
Booked tata punch accomplish amt in dec 24th 2021 and it's been more than 6 months and still they haven't delivered my car.Pathetic experience!!.,2.7
"Best car, But mileage is a tensions 11.8 is ongoing.
Mileage & Engine : 14 kmpl | Petrol | Automatic",0
"My driving experience in tata punch is very amazing and it's been honour that tata is indian company and it gives better experience than any other cars.
Mileage : 17 kmpl",0
"That was a great and good experience in this suv like car
Mileage : 17 kmpl",5
"Nice car good looking and successful car model in 2022
Mileage : 19 kmpl",0
"My first car is maruti swift, But due to lowest ground clearance its make feel unsafe to ride in off-road, So i go for tata punch, It's first ride goes amazing and give 16km per litre on road aggregate, Power feels good and it's like driving suv cars, Overall interior design looks perfect and exterior design also look fantastic compared to other car in this price range, Inbuilt quality also upto t ...read more
Mileage : 16 kmpl",4
"The best car in the india under 10 lacks.I like its upper body.
Mileage & Engine : 20 kmpl | Petrol | Automatic",5
"Best car under the budget seats are very nice and driving experience is awesome
Mileage : 18 kmpl",0
"Mileage pickup service all is good.The best one of the car in suv model.
Mileage & Engine : 15 kmpl | Petrol | Manual",4.7
I own a tata punch adventure Amt and its very good still using it. Pickup is good and it gives us feel like XUV.,0
"Good condition and very smooth mileage are good i am happy with this car
Mileage : 18 kmpl",0
